InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha

     150000 1000000.000000  3.711631e-01   1727588.207674   1347116.738359   1727588.207674   1347116.738359  0.44  0.22680
     160000  692113.346801  4.951219e-05   2800275.030038   3316044.930376    995088.698993    660304.282351  0.39  0.22394
     170000  657582.346376  5.788526e-05    562601.727825    409861.461026    840335.102065    604499.077515  0.46  0.22624
     180000  619848.916778  5.052524e-05   1500175.210044    938363.747450    985822.378545    599045.761405  0.48  0.22471
     190000  591377.857705  4.595998e-05    866461.177072    640625.358870    894017.766646    588140.085675  0.48  0.22471
     200000  564607.158848  4.952095e-05    979948.415553    893982.983577    831362.017292    548957.642440  0.43  0.22671
     210000  536838.579065  5.064046e-05    875844.315527    560782.281857    801656.013813    517618.729144  0.40  0.22500
     220000  509382.215065  5.452093e-05   1017715.175899    503150.579918    719309.250256    477138.114392  0.43  0.22671
     230000  481817.707519  5.546916e-05    869170.285402    540511.679924    723691.070071    449385.878852  0.51  0.22062
     240000  456835.120445  4.795285e-05    790775.317606    446837.896582    774495.910006    446320.436380  0.46  0.22624
     250000  434877.536070  4.914370e-05   1059427.504633    688164.931445    647797.298040    419066.308971  0.36  0.21930
     260000  412152.516177  5.608183e-05    732876.898178    266489.818876    588043.384952    383651.286124  0.50  0.22222
     270000  389698.594474  5.576397e-05    868606.130037    544545.268759    646649.842857    363972.634618  0.43  0.22671
     280000  368449.451419  5.706320e-05    944202.863895    605808.892612    574478.772117    341385.527206  0.32  0.20971
     290000  348059.617734  5.710761e-05    382810.116691    244211.437637    565957.883498    321958.922275  0.44  0.22680
     300000  329236.200085  5.619247e-05    560792.839520    352747.626817    517023.813570    305677.648018  0.50  0.22222
     310000  311300.665308  5.408989e-05    508807.914412    274026.912535    538625.423203    291047.326968  0.38  0.22264
     320000  294551.998658  5.757223e-05    560033.001686    212261.273512    450718.987812    271095.759684  0.48  0.22471
     330000  278309.231880  5.578220e-05    507402.205848    181862.970378    477158.174535    258009.833631  0.39  0.22394
     340000  262633.663382  5.976831e-05    201281.324253    236909.288627    422359.132319    238820.710589  0.49  0.22358
     350000  247598.472652  5.928681e-05    507131.777951    402695.747530    411809.479774    226406.773699  0.37  0.22109
     360000  233231.615638  5.836637e-05    318265.016175    117421.041881    387688.114540    213180.460079  0.40  0.22500
     370000  220136.567785  5.837641e-05    490416.452056    167455.761939    381914.568314    202278.893743  0.37  0.22109
     380000  207619.006078  6.103025e-05    478765.918143    176040.802365    343960.951361    188005.121758  0.47  0.22559
     390000  195671.705955  5.660119e-05    340210.166981    192155.837178    365177.976735    179599.499061  0.49  0.22358
     400000  184868.030422  5.596951e-05    431617.765604    191019.449171    334761.873183    170922.023059  0.36  0.21930
     410000  174647.278405  5.710153e-05    263431.781564    139791.547484    319288.775655    161289.674639  0.49  0.22358
     420000  165304.076924  5.429764e-05    350331.261937    128606.844821    326530.081425    155554.449535  0.48  0.22471
     430000  156641.578176  5.441083e-05    243211.063190     92973.423087    294141.400584    146941.724432  0.43  0.22671
     440000  148331.645815  5.302483e-05    153564.590923    135317.810959    276132.297875    139514.684819  0.48  0.22471
     450000  140581.900566  5.296886e-05    278731.874534     95648.338318    284854.334247    133035.347691  0.43  0.22671
     460000  133267.403752  5.165980e-05    244990.110984     65051.159005    250664.675308    124640.700871  0.50  0.22222
     470000  126008.946594  5.771437e-05    171897.747997     88815.453477    248998.326795    116237.378128  0.54  0.21442
     480000  118917.866746  5.972128e-05    233267.830304     49970.532175    242788.435874    108044.137639  0.41  0.22582
     490000  112145.779885  5.996718e-05    198606.342446     79448.080735    226708.554599    102128.790002  0.53  0.21672
     500000  105801.481143  5.772289e-05    289376.999870    109580.452924    241621.546168     97643.553095  0.43  0.22671
     510000   99989.689697  5.570713e-05    165613.644174     89619.231376    217195.418633     92512.095662  0.50  0.22222
     520000   94402.438562  5.990413e-05    210335.612447     80530.314516    202027.997703     85967.706126  0.40  0.22500
     530000   88970.661183  6.058332e-05    195476.652257     89516.687530    191814.674067     80729.563241  0.43  0.22671
     540000   83812.967372  5.752654e-05    211166.281642     97599.677770    192289.150114     75710.684144  0.47  0.22559
     550000   78960.492233  5.913856e-05    130004.456129     68993.763743    187924.413539     71831.102435  0.41  0.22582
     560000   74454.648654  5.858287e-05    249169.618867    103084.572631    182414.703670     68100.989340  0.36  0.21930
     570000   70370.931833  5.656824e-05    169491.243766     76862.520663    185575.552356     65377.571063  0.48  0.22471
     580000   66543.617152  5.646403e-05    212127.174540     94382.632751    176282.387577     61840.305800  0.38  0.22264
     590000   62965.122730  5.532874e-05    151836.890985     40372.027633    173224.974717     58509.151183  0.47  0.22559
     600000   59574.143945  4.720526e-05    335119.492483    196968.119919    171115.358840     55674.520618  0.38  0.22264
     610000   56428.070668  5.412712e-05    153460.910139     37444.219362    166193.598544     53149.739534  0.44  0.22680
     620000   53492.481263  5.344920e-05    178698.953703     86498.193778    158413.562706     50350.178213  0.54  0.21442
     630000   50662.846885  5.502060e-05    137423.204980     27237.632024    148074.045810     47251.743013  0.61  0.19208
     640000   47976.971279  5.436801e-05    199854.406820    116875.230253    153909.870036     44973.090855  0.41  0.22582
     650000   45433.411925  5.465018e-05    198596.667825     67328.046189    147266.320164     42578.073250  0.40  0.22500
     660000   43036.688685  5.462170e-05    133243.653384     53443.704349    145980.806769     40335.062379  0.32  0.20971
     670000   40778.481673  5.452261e-05    157736.617516     37354.473990    141771.262046     38328.684004  0.42  0.22639
     680000   38618.300716  5.096327e-05    128007.994267     37813.697568    134082.107385     36017.629228  0.42  0.22639
     690000   36540.862940  5.544815e-05    139167.229619     23976.958405    130841.374101     33875.128856  0.40  0.22500
     700000   34541.402000  5.737477e-05    146286.149443     39238.120364    129241.843601     31897.378268  0.42  0.22639
     710000   32623.661960  5.825344e-05    197588.453107     96007.303722    127576.268682     30025.121119  0.46  0.22624
     720000   30822.373047  5.752042e-05    128035.251805     41367.325670    127668.263756     28432.309022  0.50  0.22222
     730000   29105.700527  5.903597e-05    126581.816769     33021.221060    122204.268865     26639.916358  0.42  0.22639
     740000   27477.171999  5.690526e-05    103516.847709     21990.475490    123892.898642     25395.390533  0.44  0.22680
     750000   25977.041870  5.677937e-05    125799.508177     38628.078424    118343.730327     24107.358726  0.41  0.22582
     760000   24573.108810  5.609240e-05    129782.733711     44296.526869    120090.326477     22861.169211  0.39  0.22394
     770000   23237.610813  5.504465e-05    111569.482255     10051.152676    115826.909540     21525.155521  0.52  0.21879
     780000   21958.745220  5.664384e-05    136358.547164     28962.936547    113857.246859     20341.738099  0.29  0.19998
     790000   20759.770966  5.594208e-05    124057.407610     14885.611791    111598.557453     19272.495770  0.27  0.19230
     800000   19634.990673  5.362301e-05    157573.061517     61355.737374    109568.027106     18250.715046  0.41  0.22582
     810000   18564.038006  5.696590e-05     93801.820168     18308.200488    108428.279151     17192.975018  0.38  0.22264
     820000   17543.617112  5.734284e-05    101214.093054     13704.615879    108566.445106     16222.792521  0.43  0.22671
     830000   16602.511424  5.487485e-05    108583.544419     16067.016027    107837.336059     15572.291345  0.48  0.22471
     840000   15745.628193  5.334694e-05    102034.614790     14632.784986    106014.023475     14913.256515  0.41  0.22582
     850000   14945.454006  5.215179e-05    100558.180119     15635.161228    105935.122512     14258.469437  0.34  0.21499
     860000   14197.983383  5.109215e-05     91785.624986     15583.991677    103496.833236     13563.012338  0.49  0.22358
     870000   13495.628607  5.103301e-05    101150.126925     16548.687219    101296.847430     12937.699207  0.39  0.22394
     880000   12821.191883  5.198573e-05     96514.321516     12195.433966    100580.957542     12248.622116  0.43  0.22671
     890000   12186.517145  5.064749e-05     92407.034299      9528.727568    101015.570296     11737.814431  0.43  0.22671
     900000   11601.554821  4.920034e-05     95855.642054     13353.450466     99884.094698     11276.273403  0.44  0.22680
     910000   11057.803459  4.847104e-05    102080.464557     10155.703717     98496.546227     10815.494791  0.37  0.22109
     920000   10543.086430  4.710642e-05     97401.254218      5694.262962     98923.495217     10341.673794  0.45  0.22664
     930000   10051.965188  4.858407e-05    108252.874546     17829.047578     96661.051490      9824.955293  0.33  0.21247
     940000    9579.890343  4.927526e-05     91810.650339     11031.675694     97152.646183      9320.004044  0.41  0.22582
     950000    9126.268903  4.984476e-05     95041.059828      3022.489140     95184.560955      8831.302701  0.44  0.22680
     960000    8689.447551  4.841084e-05    100832.371342     11973.131455     95006.212782      8468.575040  0.41  0.22582
     970000    8286.268360  4.643759e-05    103689.572663     16483.509733     95114.848241      8173.565752  0.38  0.22264
     980000    7912.343285  4.647438e-05     92637.538197      8641.539452     94609.121359      7849.002216  0.47  0.22559
     990000    7562.780486  4.546146e-05     98505.878268     10688.369957     93760.618961      7547.520353  0.41  0.22582
    1000000    7230.918990  4.487072e-05     91241.183827      8885.340996     92448.404255      7256.975533  0.35  0.21726
    1010000    6922.597414  4.378077e-05     83244.935619      8474.365846     90483.479891      6995.411013  0.56  0.20914
    1020000    6631.141922  4.299001e-05     89651.830876      4849.088573     90850.255354      6720.842659  0.39  0.22394
    1030000    6357.209580  4.171824e-05     86705.786788      5880.034119     91663.819725      6516.506516  0.50  0.22222
    1040000    6098.873018  4.181115e-05     85696.403100      5338.767628     89906.525878      6239.725179  0.47  0.22559
    1050000    5850.373683  4.141972e-05     92846.476289      5127.409432     90514.173114      6001.104994  0.48  0.22471
    1060000    5613.759292  4.071194e-05     85955.443661      4005.886573     88922.292858      5765.041026  0.45  0.22664
    1070000    5390.732030  4.012639e-05     87887.970973      4737.696876     88677.665645      5600.145223  0.47  0.22559
    1080000    5183.017006  3.962399e-05     96696.454875     12183.324027     87115.390240      5422.249266  0.44  0.22680
    1090000    4988.332315  3.827926e-05     89406.557848      5837.180927     89106.662337      5278.278097  0.46  0.22624
    1100000    4803.923184  3.721988e-05     86970.898606      8147.290981     87756.408415      5107.936952  0.46  0.22624
    1110000    4630.103230  3.661474e-05     83076.534123      6802.535464     87917.398824      4939.750456  0.42  0.22639
    1120000    4465.417339  3.581809e-05     91563.027746      5474.167417     86779.081115      4827.455285  0.43  0.22671
    1130000    4310.681679  3.484754e-05     85756.396722      3127.565961     87078.099599      4649.452391  0.42  0.22639
    1140000    4161.300190  3.560997e-05     90122.134009      5066.861226     86797.692573      4504.602420  0.48  0.22471
    1150000    4016.672520  3.598168e-05     84985.947120      2521.236732     86155.305405      4337.025755  0.44  0.22680
    1160000    3876.868182  3.593092e-05     89041.365208      5685.617554     86456.189170      4190.530121  0.43  0.22671
    1170000    3746.368385  3.363587e-05     86947.250398      8297.547307     85424.578822      4129.042019  0.36  0.21930
    1180000    3625.845954  3.009187e-05     80648.901462      6076.034905     85638.226701      4031.369037  0.43  0.22671
    1190000    3513.837847  3.084038e-05     84554.019144      2704.153970     84758.879954      3950.686248  0.42  0.22639
    1200000    3406.146389  3.142670e-05     86423.618702      6713.320211     85462.050892      3839.879163  0.37  0.22109
    1210000    3304.372430  2.956666e-05     83134.504101      3110.764575     85041.747476      3756.536268  0.46  0.22624
    1220000    3206.715012  2.998509e-05     94422.880085     13357.875364     84553.114570      3682.288185  0.34  0.21499
    1230000    3116.573847  2.689529e-05     89098.074584      4825.770264     84938.337130      3630.261724  0.37  0.22109
    1240000    3030.838336  2.779777e-05     87823.101489      5634.317653     84612.150025      3568.306881  0.43  0.22671
    1250000    2949.762382  2.673859e-05     83640.552552      3315.798086     84685.451807      3501.238845  0.40  0.22500
    1260000    2873.114244  2.624142e-05     84795.561027      2405.662227     83430.930766      3446.695997  0.39  0.22394
    1270000    2800.470351  2.520195e-05     78939.011426      9604.561803     83209.837808      3386.411063  0.42  0.22639
    1280000    2734.783278  2.249032e-05     59120.390205     10586.335988     67697.655295      3439.763471  0.49  0.22358
    1290000    2678.582039  1.980590e-05     85609.641193     10914.557884     75000.366529      3531.620054  0.37  0.22109
    1300000    2629.316324  1.836745e-05     84288.997843      3900.802502     82020.015422      3547.805487  0.43  0.22671
    1310000    2582.828886  1.699272e-05     55011.943003     22081.826267     76539.373394      3553.612638  0.39  0.22394
    1320000    2541.491229  1.572978e-05     63966.405242      6570.046495     59780.236087      3618.024912  0.39  0.22394
    1330000    2503.668746  1.470909e-05     65937.911386     13605.119309     55963.322532      3633.888045  0.52  0.21879
    1340000    2468.351999  1.422163e-05     62093.317889      5249.447053     57714.337121      3628.512514  0.38  0.22264
    1350000    2434.655818  1.340566e-05     72646.116651     14680.687705     60418.976326      3631.200177  0.57  0.20616
    1360000    2403.159309  1.280854e-05     56720.153353      6182.766369     55037.113723      3660.452409  0.49  0.22358
    1370000    2373.708918  1.239496e-05     53495.006258      4417.833623     56959.175193      3651.632273  0.37  0.22109
    1380000    2345.118369  1.127665e-05     50230.966369      7348.926270     55068.486526      3649.846258  0.33  0.21247
    1390000    2318.757157  1.129216e-05     37530.849349      5624.189148     42598.010035      3681.002982  0.45  0.22664
    1400000    2293.218424  1.120668e-05     42664.073987      4633.763822     38540.893200      3652.625440  0.58  0.20296
    1410000    2268.200310  1.081779e-05     36922.015991      3373.505870     37975.903991      3632.722118  0.42  0.22639
    1420000    2243.877857  1.018698e-05     54030.751392     15691.453057     39041.094105      3623.835427  0.58  0.20296
    1430000    2220.830435  1.001471e-05     32949.182551      5977.958436     38536.784873      3633.851789  0.49  0.22358
    1440000    2198.529201  9.870132e-06     34434.595381      3452.851885     36851.135060      3611.634412  0.50  0.22222
    1450000    2176.629150  1.022862e-05     35802.572458      2828.272460     36912.986153      3575.809035  0.40  0.22500
    1460000    2154.904778  1.011172e-05     38244.621255      2779.235770     36705.722635      3538.718602  0.37  0.22109
    1470000    2133.472884  1.010370e-05     38689.855289      2427.721527     37190.723646      3517.027701  0.54  0.21442
    1480000    2112.551267  9.974640e-06     42527.744668      6622.345100     37547.619574      3494.138219  0.40  0.22500
    1490000    2091.936253  9.909886e-06     43325.457602      2730.752957     41152.359552      3473.142392  0.40  0.22500
    1500000    2072.122552  9.490364e-06     57882.466350     10001.373425     48687.605930      3488.032526  0.53  0.21672
    1510000    2053.017052  9.383889e-06     54018.932783      4951.438525     58188.029430      3471.488736  0.46  0.22624
    1520000    2034.164208  8.768243e-06     58639.744918      5335.293503     61068.282441      3456.161276  0.38  0.22264
    1530000    2016.199581  8.774143e-06     48503.552784      8143.239141     53056.601594      3481.589190  0.37  0.22109
    1540000    1999.572629  8.326354e-06     42616.738453      7477.359320     36536.984373      3507.913677  0.44  0.22680
    1550000    1983.692047  7.824016e-06     39998.184984      4751.409947     37336.266018      3521.307991  0.50  0.22222
    1560000    1968.105830  7.861750e-06     45667.459091      9906.514623     36382.090114      3506.460534  0.55  0.21189
    1570000    1952.765500  7.940658e-06     32761.841698      4359.480931     34547.518319      3485.852811  0.32  0.20971
    1580000    1937.421334  8.064300e-06     36742.622035      4107.358342     33627.919606      3443.568287  0.50  0.22222
    1590000    1922.168401  7.615695e-06     32947.794763      3676.070707     35941.083634      3431.909896  0.44  0.22680
    1600000    1907.376973  7.528096e-06     52269.698810     10359.836826     42137.792915      3429.874862  0.49  0.22358
    1610000    1893.217380  7.215695e-06     37965.810606      5514.493315     43171.504946      3452.662846  0.43  0.22671
    1620000    1879.578981  7.295470e-06     38423.139212      3743.110074     38005.135932      3454.159534  0.43  0.22671
    1630000    1866.267819  7.231120e-06     40251.620209      8161.878744     36812.466058      3441.414551  0.37  0.22109
    1640000    1852.940100  7.297359e-06     37558.388154      3670.034227     35225.444647      3396.476075  0.44  0.22680
    1650000    1839.620956  7.254946e-06     37946.775538      5608.784637     35967.365663      3389.239661  0.49  0.22358
    1660000    1826.901092  5.928419e-06     53035.985595      9617.931686     43550.089082      3406.341776  0.51  0.22062
    1670000    1814.591552  6.765744e-06     46529.101878     10475.343261     53798.854855      3407.550008  0.46  0.22624
    1680000    1802.766354  5.815984e-06     34499.055042      4414.298723     36555.461175      3428.346831  0.37  0.22109
